D,R
40000,7.4
32700,7.8
30000,7.8
25000,6.8
23000,7.5
20000,7
17127,7.4
15000,7.7
15000,7.7
12000,7.3
10700,8.1
10000,8
10000,5.7
10000,7
9748,6.2
9500,8
8000,7.8
7200,7.4
6434,6.9
6000,6.8
6000,6.2
5700,9.5
5374,6.7
5000,7.7
5000,7.1
4800,8.6
4791,8
4500,6.5
4000,7.4
4000,7.4
4000,8.1
4000,5.9
3959,7.5
3840,7.5
3279,7.1
3000,7
3000,5.9
2990,8.4
2890,6.3
2735,6.8
2500,7.8
2415,7.7
2396,6.7
2385,6.6
2183,7
2000,5.8
2000,6
1995,7.1
1900,6.2
1621,7.9
1567,7.3
1500,7.5
1500,5.4
1342,6.9
1330,8.1
1223,8.1
1100,6.1
1100,6.8
1100,6.1
1086,7.2
1000,6.9
989,6.4
894,7.2
800,7.2
768,6.8
728,6.8
600,8.2
545,5.8
491,7
476,7.2
450,6.8
400,8.2
336,6.6
322,6.6
305,6.7
300,5.6
280,7.4
275,7.6
270,7
267,5.5
265,7.2
258,7.9
250,7.8
236,6.5
230,7.7
207,6.9
177,7.8
165,7.3
160,6.6
157,6.1
150,6.8
146,6.2
143,6
136,7
125,9.2
116,7.7
115,6.4
108,8.1
103,6.8
103,7.9
100,8
90,7.7
90,6.1
89,7.2
85,7.5
85,7.5
78,8.1
78,7.1
75,7
71,8.2
67,7.1
65,6.7
63,6.9
60,6.6
57,6.7
53,6.5
53,6.2
52,7.1
50,6.9
49,8
40,7.4
38,7.7
34,7.3
30,8.2
30,6.8
30,8.1
29,6.5
28,7.3
28,7.7
26,7.5
26,6.4
26,7
25,6.5
23,6.8
23,7
18,6.3
16,6.1
14,7.5
13,7.8
13,5.6
12,8.2
12,7.3
12,7.6
11,6.1
10,7.4
10,6.4
10,8.2
9,7.1
8,7.1
8,6.8
8,5.9
8,7.1
8,7.1
7,6.5
7,5.9
7,5.4
6,7.5
6,7.5
6,8.1
5,6.4
5,7.7
5,7.2
5,8.2
5,6.2
3,7.4
3,7.3
3,7.1
3,7.3
3,7.3
3,8
3,7.4
2,6.6
2,7.2
2,7
2,7.5
2,7.7
2,8
1,8
1,7.1
0,7.8
0,8.1
0,8.6
0,8.5
0,6.1
